episode,total_return,sparse_return,shaped_return,deliveries
0,52.0,20.0,32.0,1.0
1,52.0,20.0,32.0,1.0
2,52.0,20.0,32.0,1.0
3,52.0,20.0,32.0,1.0
4,52.0,20.0,32.0,1.0
5,52.0,20.0,32.0,1.0
6,52.0,20.0,32.0,1.0
7,52.0,20.0,32.0,1.0
8,52.0,20.0,32.0,1.0
9,52.0,20.0,32.0,1.0
10,52.0,20.0,32.0,1.0
11,52.0,20.0,32.0,1.0
12,52.0,20.0,32.0,1.0
13,52.0,20.0,32.0,1.0
14,52.0,20.0,32.0,1.0
15,52.0,20.0,32.0,1.0
16,52.0,20.0,32.0,1.0
17,52.0,20.0,32.0,1.0
18,52.0,20.0,32.0,1.0
19,52.0,20.0,32.0,1.0
20,52.0,20.0,32.0,1.0
21,52.0,20.0,32.0,1.0
22,52.0,20.0,32.0,1.0
23,52.0,20.0,32.0,1.0
24,52.0,20.0,32.0,1.0
25,52.0,20.0,32.0,1.0
26,52.0,20.0,32.0,1.0
27,52.0,20.0,32.0,1.0
28,52.0,20.0,32.0,1.0
29,52.0,20.0,32.0,1.0
30,52.0,20.0,32.0,1.0
31,52.0,20.0,32.0,1.0
32,52.0,20.0,32.0,1.0
33,52.0,20.0,32.0,1.0
34,52.0,20.0,32.0,1.0
35,52.0,20.0,32.0,1.0
36,52.0,20.0,32.0,1.0
37,52.0,20.0,32.0,1.0
38,52.0,20.0,32.0,1.0
39,52.0,20.0,32.0,1.0
40,52.0,20.0,32.0,1.0
41,52.0,20.0,32.0,1.0
42,52.0,20.0,32.0,1.0
43,52.0,20.0,32.0,1.0
44,52.0,20.0,32.0,1.0
45,52.0,20.0,32.0,1.0
46,52.0,20.0,32.0,1.0
47,52.0,20.0,32.0,1.0
48,52.0,20.0,32.0,1.0
49,52.0,20.0,32.0,1.0
50,52.0,20.0,32.0,1.0
51,52.0,20.0,32.0,1.0
52,52.0,20.0,32.0,1.0
53,52.0,20.0,32.0,1.0
54,52.0,20.0,32.0,1.0
55,52.0,20.0,32.0,1.0
56,52.0,20.0,32.0,1.0
57,52.0,20.0,32.0,1.0
58,52.0,20.0,32.0,1.0
59,52.0,20.0,32.0,1.0
60,52.0,20.0,32.0,1.0
61,52.0,20.0,32.0,1.0
62,52.0,20.0,32.0,1.0
63,52.0,20.0,32.0,1.0
64,52.0,20.0,32.0,1.0
65,52.0,20.0,32.0,1.0
66,52.0,20.0,32.0,1.0
67,52.0,20.0,32.0,1.0
68,52.0,20.0,32.0,1.0
69,52.0,20.0,32.0,1.0
70,52.0,20.0,32.0,1.0
71,52.0,20.0,32.0,1.0
72,52.0,20.0,32.0,1.0
73,52.0,20.0,32.0,1.0
74,52.0,20.0,32.0,1.0
75,52.0,20.0,32.0,1.0
76,52.0,20.0,32.0,1.0
77,52.0,20.0,32.0,1.0
78,52.0,20.0,32.0,1.0
79,52.0,20.0,32.0,1.0
80,52.0,20.0,32.0,1.0
81,52.0,20.0,32.0,1.0
82,52.0,20.0,32.0,1.0
83,52.0,20.0,32.0,1.0
84,52.0,20.0,32.0,1.0
85,52.0,20.0,32.0,1.0
86,52.0,20.0,32.0,1.0
87,52.0,20.0,32.0,1.0
88,52.0,20.0,32.0,1.0
89,52.0,20.0,32.0,1.0
90,52.0,20.0,32.0,1.0
91,52.0,20.0,32.0,1.0
92,52.0,20.0,32.0,1.0
93,52.0,20.0,32.0,1.0
94,52.0,20.0,32.0,1.0
95,52.0,20.0,32.0,1.0
96,52.0,20.0,32.0,1.0
97,52.0,20.0,32.0,1.0
98,52.0,20.0,32.0,1.0
99,52.0,20.0,32.0,1.0
