timesteps,exploration_rate,episodes,mean_total_return,max_total_return,mean_sparse_return,max_sparse_return,mean_shaped_return,mean_deliveries
0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0
20000,0.9240038,20,0.0,0.0,0.0,0.0,0.0,0.0
40000,0.8480038,20,0.0,0.0,0.0,0.0,0.0,0.0
60000,0.7720037999999999,20,0.0,0.0,0.0,0.0,0.0,0.0
80000,0.6960038000000001,20,0.0,0.0,0.0,0.0,0.0,0.0
100000,0.6200038,20,12.0,12.0,0.0,0.0,12.0,0.0
120000,0.5440038000000001,20,12.0,12.0,0.0,0.0,12.0,0.0
140000,0.4680038000000001,20,15.0,15.0,0.0,0.0,15.0,0.0
160000,0.3920038,20,15.0,15.0,0.0,0.0,15.0,0.0
180000,0.31600379999999995,20,15.0,15.0,0.0,0.0,15.0,0.0
200000,0.24000379999999988,20,20.0,20.0,0.0,0.0,20.0,0.0
220000,0.16400380000000003,20,66.0,66.0,20.0,20.0,46.0,1.0
240000,0.08800380000000019,20,85.0,85.0,40.0,40.0,45.0,2.0
260000,0.05,20,80.0,80.0,40.0,40.0,40.0,2.0
280000,0.05,20,18.0,18.0,0.0,0.0,18.0,0.0
300000,0.05,20,108.0,108.0,60.0,60.0,48.0,3.0
320000,0.05,20,80.0,80.0,40.0,40.0,40.0,2.0
340000,0.05,20,321.0,321.0,180.0,180.0,141.0,9.0
360000,0.05,20,15.0,15.0,0.0,0.0,15.0,0.0
380000,0.05,20,80.0,80.0,40.0,40.0,40.0,2.0
400000,0.05,20,114.0,114.0,60.0,60.0,54.0,3.0
420000,0.05,20,57.0,57.0,20.0,20.0,37.0,1.0
440000,0.05,20,114.0,114.0,60.0,60.0,54.0,3.0
460000,0.05,20,52.0,52.0,20.0,20.0,32.0,1.0
480000,0.05,20,131.0,131.0,60.0,60.0,71.0,3.0
500000,0.05,20,447.0,447.0,240.0,240.0,207.0,12.0
