timesteps,exploration_rate,episodes,mean_total_return,max_total_return,mean_sparse_return,max_sparse_return,mean_shaped_return,mean_deliveries
0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0
20000,0.9240038,20,0.0,0.0,0.0,0.0,0.0,0.0
40000,0.8480038,20,0.0,0.0,0.0,0.0,0.0,0.0
60000,0.7720037999999999,20,0.0,0.0,0.0,0.0,0.0,0.0
80000,0.6960038000000001,20,0.0,0.0,0.0,0.0,0.0,0.0
100000,0.6200038,20,12.0,12.0,0.0,0.0,12.0,0.0
120000,0.5440038000000001,20,15.0,15.0,0.0,0.0,15.0,0.0
140000,0.4680038000000001,20,15.0,15.0,0.0,0.0,15.0,0.0
160000,0.3920038,20,18.0,18.0,0.0,0.0,18.0,0.0
180000,0.31600379999999995,20,15.0,15.0,0.0,0.0,15.0,0.0
200000,0.24000379999999988,20,37.0,37.0,0.0,0.0,37.0,0.0
220000,0.16400380000000003,20,250.0,250.0,140.0,140.0,110.0,7.0
240000,0.08800380000000019,20,40.0,40.0,20.0,20.0,20.0,1.0
260000,0.05,20,86.0,86.0,40.0,40.0,46.0,2.0
280000,0.05,20,414.0,414.0,240.0,240.0,174.0,12.0
300000,0.05,20,6.0,6.0,0.0,0.0,6.0,0.0
320000,0.05,20,9.0,9.0,0.0,0.0,9.0,0.0
340000,0.05,20,179.0,179.0,100.0,100.0,79.0,5.0
360000,0.05,20,392.0,392.0,220.0,220.0,172.0,11.0
380000,0.05,20,453.0,453.0,240.0,240.0,213.0,12.0
400000,0.05,20,450.0,450.0,240.0,240.0,210.0,12.0
420000,0.05,20,321.0,321.0,180.0,180.0,141.0,9.0
440000,0.05,20,6.0,6.0,0.0,0.0,6.0,0.0
460000,0.05,20,393.0,393.0,200.0,200.0,193.0,10.0
480000,0.05,20,423.0,423.0,240.0,240.0,183.0,12.0
500000,0.05,20,463.0,463.0,260.0,260.0,203.0,13.0
