episode,return
0,391.0
1,391.0
2,391.0
3,391.0
4,391.0
5,391.0
6,391.0
7,391.0
8,391.0
9,391.0
10,391.0
11,391.0
12,391.0
13,391.0
14,391.0
15,391.0
16,391.0
17,391.0
18,391.0
19,391.0
20,391.0
21,391.0
22,391.0
23,391.0
24,391.0
25,391.0
26,391.0
27,391.0
28,391.0
29,391.0
30,391.0
31,391.0
32,391.0
33,391.0
34,391.0
35,391.0
36,391.0
37,391.0
38,391.0
39,391.0
40,391.0
41,391.0
42,391.0
43,391.0
44,391.0
45,391.0
46,391.0
47,391.0
48,391.0
49,391.0
50,391.0
51,391.0
52,391.0
53,391.0
54,391.0
55,391.0
56,391.0
57,391.0
58,391.0
59,391.0
60,391.0
61,391.0
62,391.0
63,391.0
64,391.0
65,391.0
66,391.0
67,391.0
68,391.0
69,391.0
70,391.0
71,391.0
72,391.0
73,391.0
74,391.0
75,391.0
76,391.0
77,391.0
78,391.0
79,391.0
80,391.0
81,391.0
82,391.0
83,391.0
84,391.0
85,391.0
86,391.0
87,391.0
88,391.0
89,391.0
90,391.0
91,391.0
92,391.0
93,391.0
94,391.0
95,391.0
96,391.0
97,391.0
98,391.0
99,391.0
