episode,total_return,sparse_return,built_in_shaped_return,custom_shaped_return,shaped_return,deliveries
0,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
1,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
2,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
3,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
4,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
5,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
6,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
7,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
8,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
9,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
10,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
11,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
12,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
13,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
14,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
15,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
16,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
17,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
18,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
19,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
20,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
21,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
22,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
23,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
24,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
25,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
26,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
27,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
28,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
29,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
30,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
31,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
32,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
33,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
34,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
35,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
36,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
37,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
38,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
39,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
40,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
41,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
42,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
43,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
44,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
45,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
46,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
47,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
48,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
49,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
50,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
51,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
52,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
53,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
54,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
55,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
56,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
57,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
58,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
59,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
60,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
61,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
62,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
63,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
64,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
65,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
66,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
67,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
68,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
69,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
70,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
71,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
72,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
73,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
74,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
75,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
76,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
77,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
78,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
79,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
80,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
81,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
82,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
83,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
84,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
85,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
86,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
87,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
88,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
89,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
90,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
91,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
92,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
93,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
94,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
95,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
96,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
97,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
98,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
99,10.248000000000168,0.0,18.0,-7.751999999999957,10.248000000000044,0.0
