algo,layout,seed,mean_return,std_return,median_return,min_return,max_return,run_dir
ppo,unident_s,2,12.0,0.0,12.0,12.0,12.0,results/selfplay/ppo/unident_s/seed_2/steps_500000__partner_offset_1000
ppo,unident_s,1,9.0,0.0,9.0,9.0,9.0,results/selfplay/ppo/unident_s/seed_1/steps_500000__partner_offset_1000
ppo,unident_s,0,490.0,0.0,490.0,490.0,490.0,results/selfplay/ppo/unident_s/seed_0/steps_500000__partner_offset_1000
ppo,random3,2,21.0,0.0,21.0,21.0,21.0,results/selfplay/ppo/random3/seed_2/steps_500000__partner_offset_1000
ppo,random3,1,26.0,0.0,26.0,26.0,26.0,results/selfplay/ppo/random3/seed_1/steps_500000__partner_offset_1000
ppo,random3,0,9.0,0.0,9.0,9.0,9.0,results/selfplay/ppo/random3/seed_0/steps_500000__partner_offset_1000
ppo,simple,2,46.0,0.0,46.0,46.0,46.0,results/selfplay/ppo/simple/seed_2/steps_500000__partner_offset_1000
ppo,simple,1,419.0,0.0,419.0,419.0,419.0,results/selfplay/ppo/simple/seed_1/steps_500000__partner_offset_1000
ppo,simple,0,386.0,0.0,386.0,386.0,386.0,results/selfplay/ppo/simple/seed_0/steps_500000__partner_offset_1000
ppo,random1,2,382.0,0.0,382.0,382.0,382.0,results/selfplay/ppo/random1/seed_2/steps_500000__partner_offset_1000
ppo,random1,1,379.0,0.0,379.0,379.0,379.0,results/selfplay/ppo/random1/seed_1/steps_500000__partner_offset_1000
ppo,random1,0,52.0,0.0,52.0,52.0,52.0,results/selfplay/ppo/random1/seed_0/steps_500000__partner_offset_1000
ppo,random0,2,423.0,0.0,423.0,423.0,423.0,results/selfplay/ppo/random0/seed_2/steps_500000__partner_offset_1000
ppo,random0,1,49.0,0.0,49.0,49.0,49.0,results/selfplay/ppo/random0/seed_1/steps_500000__partner_offset_1000
ppo,random0,0,400.0,0.0,400.0,400.0,400.0,results/selfplay/ppo/random0/seed_0/steps_500000__partner_offset_1000
a2c,unident_s,2,0.0,0.0,0.0,0.0,0.0,results/selfplay/a2c/unident_s/seed_2/steps_500000__partner_offset_1000
a2c,unident_s,1,0.0,0.0,0.0,0.0,0.0,results/selfplay/a2c/unident_s/seed_1/steps_500000__partner_offset_1000
a2c,unident_s,0,0.0,0.0,0.0,0.0,0.0,results/selfplay/a2c/unident_s/seed_0/steps_500000__partner_offset_1000
a2c,random3,2,0.0,0.0,0.0,0.0,0.0,results/selfplay/a2c/random3/seed_2/steps_500000__partner_offset_1000
a2c,random3,1,0.0,0.0,0.0,0.0,0.0,results/selfplay/a2c/random3/seed_1/steps_500000__partner_offset_1000
a2c,random3,0,0.0,0.0,0.0,0.0,0.0,results/selfplay/a2c/random3/seed_0/steps_500000__partner_offset_1000
a2c,simple,2,0.0,0.0,0.0,0.0,0.0,results/selfplay/a2c/simple/seed_2/steps_500000__partner_offset_1000
a2c,simple,1,0.0,0.0,0.0,0.0,0.0,results/selfplay/a2c/simple/seed_1/steps_500000__partner_offset_1000
a2c,simple,0,0.0,0.0,0.0,0.0,0.0,results/selfplay/a2c/simple/seed_0/steps_500000__partner_offset_1000
a2c,random1,2,9.0,0.0,9.0,9.0,9.0,results/selfplay/a2c/random1/seed_2/steps_500000__partner_offset_1000
a2c,random1,1,0.0,0.0,0.0,0.0,0.0,results/selfplay/a2c/random1/seed_1/steps_500000__partner_offset_1000
a2c,random1,0,18.0,0.0,18.0,18.0,18.0,results/selfplay/a2c/random1/seed_0/steps_500000__partner_offset_1000
a2c,random0,2,0.0,0.0,0.0,0.0,0.0,results/selfplay/a2c/random0/seed_2/steps_500000__partner_offset_1000
a2c,random0,1,0.0,0.0,0.0,0.0,0.0,results/selfplay/a2c/random0/seed_1/steps_500000__partner_offset_1000
a2c,random0,0,0.0,0.0,0.0,0.0,0.0,results/selfplay/a2c/random0/seed_0/steps_500000__partner_offset_1000
