layout,seed,baseline_episodes,baseline_sparse,baseline_deliveries,baseline_total,baseline_custom_shaped,baseline_built_in_shaped,old_ss0.2_pw2_episodes,old_ss0.2_pw2_sparse,old_ss0.2_pw2_deliveries,old_ss0.2_pw2_total,old_ss0.2_pw2_custom_shaped,old_ss0.2_pw2_built_in_shaped,new_ss1.2_episodes,new_ss1.2_sparse,new_ss1.2_deliveries,new_ss1.2_total,new_ss1.2_custom_shaped,new_ss1.2_built_in_shaped,new_minus_old_sparse,old_minus_base_sparse,new_minus_base_sparse,new_minus_old_deliveries,old_minus_base_deliveries,new_minus_base_deliveries,new_minus_old_total,old_minus_base_total,new_minus_base_total
random0,0,1,220.0,11.0,400.0,0.0,180.0,100,220.0,11.0,441.3999999999998,22.399999999999988,199.0,1,240.0,12.0,448.060799999999,-4.939200000000016,213.0,20.0,0.0,20.0,1.0,0.0,1.0,6.660799999999199,41.39999999999981,48.060799999999006
random0,1,1,20.0,1.0,49.0,0.0,29.0,100,240.0,12.0,482.5999999999995,23.599999999999973,219.0,1,60.0,3.0,118.99019999999932,-4.009800000000029,63.0,-180.0,220.0,40.0,-9.0,11.0,2.0,-363.6098000000002,433.5999999999995,69.99019999999932
random0,2,1,240.0,12.0,423.0,0.0,183.0,100,180.0,9.0,361.79999999999995,22.79999999999999,159.0,1,240.0,12.0,447.4811999999986,-5.518800000000014,213.0,60.0,-60.0,0.0,3.0,-3.0,0.0,85.68119999999863,-61.200000000000045,24.48119999999858
random1,0,1,20.0,1.0,52.0,0.0,32.0,100,140.0,7.0,278.6000000000002,19.59999999999999,119.0,1,180.0,9.0,343.7235599999987,-4.276440000000024,168.0,40.0,120.0,160.0,2.0,6.0,8.0,65.12355999999852,226.6000000000002,291.7235599999987
random1,1,1,200.0,10.0,379.0,0.0,179.0,100,40.0,2.0,95.79999999999994,6.8,49.0,1,200.0,10.0,373.2273999999993,-5.772600000000017,179.0,160.0,-160.0,0.0,8.0,-8.0,0.0,277.42739999999935,-283.20000000000005,-5.772600000000693
random1,2,1,200.0,10.0,382.0,0.0,182.0,100,200.0,10.0,403.9999999999997,21.99999999999998,182.0,1,180.0,9.0,314.37071999999955,-3.629280000000009,138.0,-20.0,0.0,-20.0,-1.0,0.0,-1.0,-89.62928000000016,21.999999999999716,-67.62928000000045
random3,0,1,0.0,0.0,9.0,0.0,9.0,100,0.0,0.0,25.800000000000015,2.8000000000000007,23.0,1,0.0,0.0,12.967760000000268,-4.032239999999984,17.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.832239999999747,16.800000000000015,3.9677600000002684
random3,1,1,0.0,0.0,26.0,0.0,26.0,100,0.0,0.0,0.3999999999999999,0.3999999999999999,0.0,1,0.0,0.0,3.8903999999999614,-2.109600000000013,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4903999999999615,-25.6,-22.10960000000004
random3,2,1,0.0,0.0,21.0,0.0,21.0,100,0.0,0.0,45.80000000000001,2.8000000000000007,43.0,1,0.0,0.0,69.79696000000007,-12.203040000000003,82.0,0.0,0.0,0.0,0.0,0.0,0.0,23.99696000000006,24.80000000000001,48.79696000000007
simple,0,20,220.0,11.0,386.0,0.0,166.0,100,220.0,11.0,448.8,24.799999999999997,204.0,1,200.0,10.0,348.75999999999965,-3.240000000000013,152.0,-20.0,0.0,-20.0,-1.0,0.0,-1.0,-100.04000000000036,62.80000000000001,-37.24000000000035
simple,1,100,220.0,11.0,419.0,0.0,199.0,100,200.0,10.0,409.8,22.800000000000008,187.0,1,220.0,11.0,415.7161999999994,-3.283800000000011,199.0,20.0,-20.0,0.0,1.0,-1.0,0.0,5.916199999999378,-9.199999999999989,-3.2838000000006105
simple,2,100,20.0,1.0,46.0,0.0,26.0,100,240.0,12.0,481.99999999999994,25.999999999999996,216.0,1,220.0,11.0,421.3581999999994,-2.6418000000000004,204.0,-20.0,220.0,200.0,-1.0,11.0,10.0,-60.64180000000056,435.99999999999994,375.3581999999994
unident_s,0,100,260.0,13.0,490.0,0.0,230.0,100,20.0,1.0,58.60000000000003,3.600000000000002,35.0,1,460.0,23.0,872.190400000003,-4.809600000000015,417.0,440.0,-240.0,200.0,22.0,-12.0,10.0,813.590400000003,-431.4,382.190400000003
unident_s,1,100,0.0,0.0,9.0,0.0,9.0,100,460.0,23.0,895.599999999999,29.59999999999996,406.0,1,460.0,23.0,865.8284000000026,-6.171600000000011,412.0,0.0,460.0,460.0,0.0,23.0,23.0,-29.771599999996397,886.599999999999,856.8284000000026
unident_s,2,100,0.0,0.0,12.0,0.0,12.0,100,240.0,12.0,481.99999999999943,25.99999999999997,216.0,1,0.0,0.0,6.709200000000109,-2.290800000000016,9.0,-240.0,240.0,0.0,-12.0,12.0,0.0,-475.2907999999993,469.99999999999943,-5.290799999999891
