step,ego_action,partner_action,sparse_reward,built_in,base,v2_extra,useless,custom,total,late_stage,no_interaction_change,useless_before,useless_after
1,"(0, 1)","(-1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,"[0, 0]","[0, 0]"
2,"(-1, 0)",interact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,"[0, 0]","[0, 0]"
3,"(0, 1)","(0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,"[0, 0]","[0, 0]"
4,"(-1, 0)","(1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,"[0, 0]","[0, 0]"
5,interact,interact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,"[0, 0]","[0, 0]"
6,interact,"(0, -1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,"[0, 0]","[0, 0]"
7,"(0, -1)","(-1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,"[0, 0]","[0, 0]"
8,"(0, -1)",interact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,"[0, 0]","[0, 0]"
9,interact,"(0, 1)",0.0,3.0,1.4849999999999999,0.0,0.0,1.4849999999999999,4.484999999999999,False,False,"[0, 0]","[0, 0]"
10,"(0, 1)","(1, 0)",0.0,0.0,-0.015000000000000013,0.0,0.0,-0.015000000000000013,-0.015000000000000013,False,False,"[0, 0]","[0, 0]"
11,"(0, 1)","(1, 0)",0.0,0.0,-0.015000000000000013,0.0,0.0,-0.015000000000000013,-0.015000000000000013,False,False,"[0, 0]","[0, 0]"
12,"(-1, 0)",interact,0.0,0.0,-0.015000000000000013,0.0,0.0,-0.015000000000000013,-0.015000000000000013,False,False,"[0, 0]","[0, 0]"
13,interact,"(0, -1)",0.0,0.0,-0.015000000000000013,0.0,0.0,-0.015000000000000013,-0.015000000000000013,False,False,"[0, 0]","[0, 0]"
14,"(0, -1)","(-1, 0)",0.0,0.0,-0.015000000000000013,0.0,0.0,-0.015000000000000013,-0.015000000000000013,False,False,"[0, 0]","[0, 0]"
15,"(0, -1)",interact,0.0,0.0,-0.015000000000000013,0.0,0.0,-0.015000000000000013,-0.015000000000000013,False,False,"[0, 0]","[0, 0]"
16,interact,"(0, 1)",0.0,3.0,1.47,0.0,0.0,1.47,4.47,False,False,"[0, 0]","[0, 0]"
17,"(0, 1)","(1, 0)",0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
18,"(0, 1)","(1, 0)",0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
19,"(-1, 0)",interact,0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
20,interact,"(0, -1)",0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
21,"(0, -1)","(-1, 0)",0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
