episode,return
0,382.0
1,382.0
2,382.0
3,382.0
4,382.0
5,382.0
6,382.0
7,382.0
8,382.0
9,382.0
10,382.0
11,382.0
12,382.0
13,382.0
14,382.0
15,382.0
16,382.0
17,382.0
18,382.0
19,382.0
20,382.0
21,382.0
22,382.0
23,382.0
24,382.0
25,382.0
26,382.0
27,382.0
28,382.0
29,382.0
30,382.0
31,382.0
32,382.0
33,382.0
34,382.0
35,382.0
36,382.0
37,382.0
38,382.0
39,382.0
40,382.0
41,382.0
42,382.0
43,382.0
44,382.0
45,382.0
46,382.0
47,382.0
48,382.0
49,382.0
50,382.0
51,382.0
52,382.0
53,382.0
54,382.0
55,382.0
56,382.0
57,382.0
58,382.0
59,382.0
60,382.0
61,382.0
62,382.0
63,382.0
64,382.0
65,382.0
66,382.0
67,382.0
68,382.0
69,382.0
70,382.0
71,382.0
72,382.0
73,382.0
74,382.0
75,382.0
76,382.0
77,382.0
78,382.0
79,382.0
80,382.0
81,382.0
82,382.0
83,382.0
84,382.0
85,382.0
86,382.0
87,382.0
88,382.0
89,382.0
90,382.0
91,382.0
92,382.0
93,382.0
94,382.0
95,382.0
96,382.0
97,382.0
98,382.0
99,382.0
