step,ego_action,partner_action,reward,total_return,sparse_return,deliveries,p0_pos,p0_orient,p0_held,p1_pos,p1_orient,p1_held,pots,objects
1,interact,2,0.0,0.0,0.0,0.0,"(3, 3)","(0, -1)",,"(4, 1)","(1, 0)",,"(3, 0):empty;(4, 0):empty",
2,interact,2,0.0,0.0,0.0,0.0,"(3, 3)","(0, -1)",,"(5, 1)","(1, 0)",,"(3, 0):empty;(4, 0):empty",
3,"(-1, 0)",2,0.0,0.0,0.0,0.0,"(2, 3)","(-1, 0)",,"(6, 1)","(1, 0)",,"(3, 0):empty;(4, 0):empty",
4,"(-1, 0)",1,0.0,0.0,0.0,0.0,"(1, 3)","(-1, 0)",,"(6, 2)","(0, 1)",,"(3, 0):empty;(4, 0):empty",
5,"(0, 1)",1,0.0,0.0,0.0,0.0,"(1, 3)","(0, 1)",,"(6, 3)","(0, 1)",,"(3, 0):empty;(4, 0):empty",
6,"(-1, 0)",3,0.0,0.0,0.0,0.0,"(1, 3)","(-1, 0)",,"(5, 3)","(-1, 0)",,"(3, 0):empty;(4, 0):empty",
7,"(-1, 0)",3,0.0,0.0,0.0,0.0,"(1, 3)","(-1, 0)",,"(4, 3)","(-1, 0)",,"(3, 0):empty;(4, 0):empty",
8,"(0, 1)",1,0.0,0.0,0.0,0.0,"(1, 3)","(0, 1)",,"(4, 3)","(0, 1)",,"(3, 0):empty;(4, 0):empty",
9,"(-1, 0)",5,0.0,0.0,0.0,0.0,"(1, 3)","(-1, 0)",,"(4, 3)","(0, 1)",onion,"(3, 0):empty;(4, 0):empty",
10,"(0, 1)",2,0.0,0.0,0.0,0.0,"(1, 3)","(0, 1)",,"(5, 3)","(1, 0)",onion,"(3, 0):empty;(4, 0):empty",
11,"(-1, 0)",2,0.0,0.0,0.0,0.0,"(1, 3)","(-1, 0)",,"(6, 3)","(1, 0)",onion,"(3, 0):empty;(4, 0):empty",
12,"(-1, 0)",0,0.0,0.0,0.0,0.0,"(1, 3)","(-1, 0)",,"(6, 2)","(0, -1)",onion,"(3, 0):empty;(4, 0):empty",
13,"(-1, 0)",0,0.0,0.0,0.0,0.0,"(1, 3)","(-1, 0)",,"(6, 1)","(0, -1)",onion,"(3, 0):empty;(4, 0):empty",
14,"(-1, 0)",3,0.0,0.0,0.0,0.0,"(1, 3)","(-1, 0)",,"(5, 1)","(-1, 0)",onion,"(3, 0):empty;(4, 0):empty",
15,"(0, 1)",3,0.0,0.0,0.0,0.0,"(1, 3)","(0, 1)",,"(4, 1)","(-1, 0)",onion,"(3, 0):empty;(4, 0):empty",
16,"(-1, 0)",0,0.0,0.0,0.0,0.0,"(1, 3)","(-1, 0)",,"(4, 1)","(0, -1)",onion,"(3, 0):empty;(4, 0):empty",
17,"(0, -1)",5,3.3564,3.3564,0.0,0.0,"(1, 2)","(0, -1)",,"(4, 1)","(0, -1)",,"(3, 0):empty;(4, 0):soup('onion', 1, 0)","(4, 0):soup('onion', 1, 0)"
18,interact,2,-0.003600000000000003,3.3528,0.0,0.0,"(1, 2)","(0, -1)",,"(5, 1)","(1, 0)",,"(3, 0):empty;(4, 0):soup('onion', 1, 0)","(4, 0):soup('onion', 1, 0)"
19,"(-1, 0)",2,-0.003600000000000003,3.3491999999999997,0.0,0.0,"(1, 2)","(-1, 0)",,"(6, 1)","(1, 0)",,"(3, 0):empty;(4, 0):soup('onion', 1, 0)","(4, 0):soup('onion', 1, 0)"
20,interact,1,2.9964,6.345599999999999,0.0,0.0,"(1, 2)","(-1, 0)",dish,"(6, 2)","(0, 1)",,"(3, 0):empty;(4, 0):soup('onion', 1, 0)","(4, 0):soup('onion', 1, 0)"
21,interact,1,-0.003600000000000003,6.342,0.0,0.0,"(1, 2)","(-1, 0)",dish,"(6, 3)","(0, 1)",,"(3, 0):empty;(4, 0):soup('onion', 1, 0)","(4, 0):soup('onion', 1, 0)"
22,interact,3,-0.003600000000000003,6.3384,0.0,0.0,"(1, 2)","(-1, 0)",dish,"(5, 3)","(-1, 0)",,"(3, 0):empty;(4, 0):soup('onion', 1, 0)","(4, 0):soup('onion', 1, 0)"
23,interact,3,-0.003600000000000003,6.3348,0.0,0.0,"(1, 2)","(-1, 0)",dish,"(4, 3)","(-1, 0)",,"(3, 0):empty;(4, 0):soup('onion', 1, 0)","(4, 0):soup('onion', 1, 0)"
24,"(0, 1)",1,-0.003600000000000003,6.331200000000001,0.0,0.0,"(1, 3)","(0, 1)",dish,"(4, 3)","(0, 1)",,"(3, 0):empty;(4, 0):soup('onion', 1, 0)","(4, 0):soup('onion', 1, 0)"
25,"(-1, 0)",5,-0.003600000000000003,6.327600000000001,0.0,0.0,"(1, 3)","(-1, 0)",dish,"(4, 3)","(0, 1)",onion,"(3, 0):empty;(4, 0):soup('onion', 1, 0)","(4, 0):soup('onion', 1, 0)"
26,interact,2,-0.003600000000000003,6.324000000000002,0.0,0.0,"(1, 3)","(-1, 0)",,"(5, 3)","(1, 0)",onion,"(3, 0):empty;(4, 0):soup('onion', 1, 0)","(0, 3):dish;(4, 0):soup('onion', 1, 0)"
27,"(-1, 0)",2,-0.003600000000000003,6.320400000000002,0.0,0.0,"(1, 3)","(-1, 0)",,"(6, 3)","(1, 0)",onion,"(3, 0):empty;(4, 0):soup('onion', 1, 0)","(0, 3):dish;(4, 0):soup('onion', 1, 0)"
