step,ego_action,partner_action,sparse_delta,built_in,custom,total
1,"(0, 1)",interact,0.0,0.0,0.0,0.0
2,interact,interact,0.0,0.0,0.0,0.0
3,"(1, 0)",interact,0.0,0.0,0.0,0.0
4,"(1, 0)",interact,0.0,0.0,0.0,0.0
5,"(1, 0)",interact,0.0,0.0,0.0,0.0
6,"(0, -1)",interact,0.0,0.0,0.0,0.0
7,"(0, -1)","(0, 1)",0.0,0.0,0.0,0.0
8,"(-1, 0)",interact,0.0,0.0,0.0,0.0
9,"(-1, 0)","(-1, 0)",0.0,0.0,0.0,0.0
10,"(0, -1)","(-1, 0)",0.0,0.0,0.0,0.0
11,interact,"(0, 1)",0.0,3.0,1.4849999999999999,4.484999999999999
12,"(1, 0)",interact,0.0,0.0,-0.015000000000000013,-0.015000000000000013
13,"(1, 0)","(-1, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
14,"(0, 1)",interact,0.0,3.0,-0.015000000000000013,2.985
15,"(0, 1)","(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
16,"(-1, 0)","(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
17,"(-1, 0)","(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
18,"(0, 1)","(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
19,interact,"(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
20,"(1, 0)","(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
21,"(1, 0)","(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
22,"(0, -1)","(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
23,"(0, -1)","(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
24,"(-1, 0)","(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
25,"(-1, 0)","(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
26,"(0, -1)","(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
27,interact,"(0, 0)",0.0,3.0,1.47,4.47
28,"(1, 0)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
29,"(1, 0)",interact,0.0,0.0,-0.030000000000000027,-0.030000000000000027
30,"(0, 1)",interact,0.0,0.0,-0.030000000000000027,-0.030000000000000027
31,"(0, 1)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
32,"(-1, 0)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
33,"(-1, 0)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
34,"(0, 1)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
35,interact,"(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
36,"(1, 0)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
37,"(1, 0)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
38,"(0, -1)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
39,"(0, -1)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
40,"(-1, 0)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
41,"(-1, 0)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
42,"(0, -1)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
43,interact,"(0, 0)",0.0,3.0,1.9500000000000002,4.95
44,"(-1, 0)",interact,0.0,0.0,-0.050000000000000044,-0.050000000000000044
45,"(-1, 0)","(1, 0)",0.0,0.0,-0.050000000000000044,-0.050000000000000044
46,"(0, 1)","(1, 0)",0.0,0.0,-0.050000000000000044,-0.050000000000000044
47,interact,interact,0.0,0.0,-0.050000000000000044,-0.050000000000000044
48,interact,interact,0.0,0.0,-0.050000000000000044,-0.050000000000000044
49,"(1, 0)","(0, -1)",0.0,0.0,-0.050000000000000044,-0.050000000000000044
50,"(0, 1)","(1, 0)",0.0,0.0,-0.050000000000000044,-0.050000000000000044
51,"(1, 0)","(1, 0)",0.0,0.0,-0.050000000000000044,-0.050000000000000044
52,"(0, -1)","(0, -1)",0.0,0.0,-0.050000000000000044,-0.050000000000000044
53,"(0, 0)","(0, 1)",0.0,0.0,-0.050000000000000044,-0.050000000000000044
54,interact,"(0, 1)",0.0,0.0,-0.050000000000000044,-0.050000000000000044
55,interact,"(0, 1)",0.0,0.0,-0.050000000000000044,-0.050000000000000044
56,interact,"(0, 1)",0.0,0.0,-0.050000000000000044,-0.050000000000000044
57,interact,"(0, 1)",0.0,0.0,-0.050000000000000044,-0.050000000000000044
58,interact,"(0, 1)",0.0,0.0,-0.050000000000000044,-0.050000000000000044
59,interact,"(0, 1)",0.0,0.0,-0.050000000000000044,-0.050000000000000044
60,interact,"(0, 1)",0.0,0.0,-0.050000000000000044,-0.050000000000000044
61,interact,"(0, 1)",0.0,0.0,-0.050000000000000044,-0.050000000000000044
62,interact,"(0, 1)",0.0,0.0,2.2765000000000004,2.2765000000000004
63,interact,"(0, -1)",0.0,5.0,1.5600000000000003,6.5600000000000005
64,"(1, 0)","(-1, 0)",0.0,0.0,0.15750000000000042,0.15750000000000042
65,"(1, 0)","(0, 1)",0.0,0.0,0.15499999999999958,0.15499999999999958
66,"(0, 1)","(0, 1)",0.0,0.0,0.15249999999999986,0.15249999999999986
67,"(1, 0)","(-1, 0)",0.0,0.0,-0.09750000000000036,-0.09750000000000036
68,interact,"(0, 1)",20.0,0.0,-9.75,10.25
69,"(0, 1)","(0, -1)",0.0,0.0,0.0,0.0
70,"(-1, 0)",interact,0.0,0.0,0.0,0.0
71,"(-1, 0)","(0, 1)",0.0,0.0,0.0,0.0
72,"(0, 1)","(-1, 0)",0.0,0.0,0.0,0.0
73,interact,"(-1, 0)",0.0,0.0,0.0,0.0
74,"(1, 0)","(-1, 0)",0.0,0.0,0.0,0.0
75,"(1, 0)","(0, -1)",0.0,0.0,0.0,0.0
76,"(0, -1)","(0, 0)",0.0,0.0,0.0,0.0
77,"(0, -1)","(0, 0)",0.0,0.0,0.0,0.0
78,"(-1, 0)","(0, 0)",0.0,0.0,0.0,0.0
79,"(0, -1)","(0, 0)",0.0,0.0,0.0,0.0
80,"(-1, 0)","(0, 0)",0.0,0.0,0.0,0.0
81,"(0, -1)","(-1, 0)",0.0,0.0,0.0,0.0
82,interact,"(0, 1)",0.0,3.0,1.4849999999999999,4.484999999999999
83,"(1, 0)",interact,0.0,0.0,-0.015000000000000013,-0.015000000000000013
84,"(1, 0)","(-1, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
85,"(0, 1)",interact,0.0,3.0,-0.015000000000000013,2.985
86,"(0, 1)","(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
87,"(-1, 0)","(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
88,"(-1, 0)","(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
89,"(0, 1)","(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
90,interact,"(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
91,"(1, 0)","(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
92,"(1, 0)","(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
93,"(0, -1)","(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
94,"(0, -1)","(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
95,"(-1, 0)","(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
96,"(-1, 0)","(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
97,"(0, -1)","(0, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
98,interact,"(0, 0)",0.0,3.0,1.47,4.47
99,"(1, 0)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
100,"(1, 0)",interact,0.0,0.0,-0.030000000000000027,-0.030000000000000027
101,"(0, 1)",interact,0.0,0.0,-0.030000000000000027,-0.030000000000000027
102,"(0, 1)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
103,"(-1, 0)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
104,"(-1, 0)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
105,"(0, 1)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
106,interact,"(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
107,"(1, 0)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
108,"(1, 0)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
109,"(0, -1)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
110,"(0, -1)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
111,"(-1, 0)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
112,"(-1, 0)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
113,"(0, -1)","(0, 0)",0.0,0.0,-0.030000000000000027,-0.030000000000000027
114,interact,"(0, 0)",0.0,3.0,1.9500000000000002,4.95
115,"(-1, 0)",interact,0.0,0.0,-0.050000000000000044,-0.050000000000000044
116,"(-1, 0)","(1, 0)",0.0,0.0,-0.050000000000000044,-0.050000000000000044
117,"(0, 1)","(1, 0)",0.0,0.0,-0.050000000000000044,-0.050000000000000044
