step,ego_action_idx,ego_action,p0_pos,p0_orient,p0_held,p1_pos,p1_orient,p1_held,objects_before,pots_before,cum_sparse_before,cum_shaped_before,partner_action_idx,partner_action,reward,sparse_reward,built_in_shaped_reward,custom_shaped_reward,cum_sparse_after,cum_shaped_after,delivery_event,p0_pos_after,p0_held_after,p1_pos_after,p1_held_after,objects_after,pots_after
0,4,"(0, 0)","(1, 2)","(0, -1)",,"(3, 1)","(0, -1)",,,"(2, 0):empty",0.0,0.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,False,"(1, 2)",,"(2, 1)",,,"(2, 0):empty"
1,0,"(0, -1)","(1, 2)","(0, -1)",,"(2, 1)","(-1, 0)",,,"(2, 0):empty",0.0,0.0,2,"(1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,False,"(1, 1)",,"(3, 1)",,,"(2, 0):empty"
2,1,"(0, 1)","(1, 1)","(0, -1)",,"(3, 1)","(1, 0)",,,"(2, 0):empty",0.0,0.0,5,interact,0.0,0.0,0.0,0.0,0.0,0.0,False,"(1, 2)",,"(3, 1)",onion,,"(2, 0):empty"
3,4,"(0, 0)","(1, 2)","(0, 1)",,"(3, 1)","(1, 0)",onion,,"(2, 0):empty",0.0,0.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,False,"(1, 2)",,"(2, 1)",onion,,"(2, 0):empty"
4,0,"(0, -1)","(1, 2)","(0, 1)",,"(2, 1)","(-1, 0)",onion,,"(2, 0):empty",0.0,0.0,0,"(0, -1)",0.0,0.0,0.0,0.0,0.0,0.0,False,"(1, 1)",,"(2, 1)",onion,,"(2, 0):empty"
5,2,"(1, 0)","(1, 1)","(0, -1)",,"(2, 1)","(0, -1)",onion,,"(2, 0):empty",0.0,0.0,5,interact,3.0,0.0,3.0,0.0,0.0,3.0,False,"(1, 1)",,"(2, 1)",,"(2, 0):soup('onion', 1, 0)","(2, 0):soup('onion', 1, 0)"
6,3,"(-1, 0)","(1, 1)","(1, 0)",,"(2, 1)","(0, -1)",,"(2, 0):soup('onion', 1, 0)","(2, 0):soup('onion', 1, 0)",0.0,3.0,2,"(1, 0)",0.0,0.0,0.0,0.0,0.0,3.0,False,"(1, 1)",,"(3, 1)",,"(2, 0):soup('onion', 1, 0)","(2, 0):soup('onion', 1, 0)"
7,1,"(0, 1)","(1, 1)","(-1, 0)",,"(3, 1)","(1, 0)",,"(2, 0):soup('onion', 1, 0)","(2, 0):soup('onion', 1, 0)",0.0,3.0,5,interact,0.0,0.0,0.0,0.0,0.0,3.0,False,"(1, 2)",,"(3, 1)",onion,"(2, 0):soup('onion', 1, 0)","(2, 0):soup('onion', 1, 0)"
8,5,interact,"(1, 2)","(0, 1)",,"(3, 1)","(1, 0)",onion,"(2, 0):soup('onion', 1, 0)","(2, 0):soup('onion', 1, 0)",0.0,3.0,3,"(-1, 0)",3.0,0.0,3.0,0.0,0.0,6.0,False,"(1, 2)",dish,"(2, 1)",onion,"(2, 0):soup('onion', 1, 0)","(2, 0):soup('onion', 1, 0)"
9,0,"(0, -1)","(1, 2)","(0, 1)",dish,"(2, 1)","(-1, 0)",onion,"(2, 0):soup('onion', 1, 0)","(2, 0):soup('onion', 1, 0)",0.0,6.0,0,"(0, -1)",0.0,0.0,0.0,0.0,0.0,6.0,False,"(1, 1)",dish,"(2, 1)",onion,"(2, 0):soup('onion', 1, 0)","(2, 0):soup('onion', 1, 0)"
10,2,"(1, 0)","(1, 1)","(0, -1)",dish,"(2, 1)","(0, -1)",onion,"(2, 0):soup('onion', 1, 0)","(2, 0):soup('onion', 1, 0)",0.0,6.0,5,interact,3.0,0.0,3.0,0.0,0.0,9.0,False,"(1, 1)",dish,"(2, 1)",,"(2, 0):soup('onion', 2, 0)","(2, 0):soup('onion', 2, 0)"
11,0,"(0, -1)","(1, 1)","(1, 0)",dish,"(2, 1)","(0, -1)",,"(2, 0):soup('onion', 2, 0)","(2, 0):soup('onion', 2, 0)",0.0,9.0,2,"(1, 0)",0.0,0.0,0.0,0.0,0.0,9.0,False,"(1, 1)",dish,"(3, 1)",,"(2, 0):soup('onion', 2, 0)","(2, 0):soup('onion', 2, 0)"
12,5,interact,"(1, 1)","(0, -1)",dish,"(3, 1)","(1, 0)",,"(2, 0):soup('onion', 2, 0)","(2, 0):soup('onion', 2, 0)",0.0,9.0,5,interact,0.0,0.0,0.0,0.0,0.0,9.0,False,"(1, 1)",,"(3, 1)",onion,"(1, 0):dish;(2, 0):soup('onion', 2, 0)","(2, 0):soup('onion', 2, 0)"
13,1,"(0, 1)","(1, 1)","(0, -1)",,"(3, 1)","(1, 0)",onion,"(1, 0):dish;(2, 0):soup('onion', 2, 0)","(2, 0):soup('onion', 2, 0)",0.0,9.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,9.0,False,"(1, 2)",,"(2, 1)",onion,"(1, 0):dish;(2, 0):soup('onion', 2, 0)","(2, 0):soup('onion', 2, 0)"
14,0,"(0, -1)","(1, 2)","(0, 1)",,"(2, 1)","(-1, 0)",onion,"(1, 0):dish;(2, 0):soup('onion', 2, 0)","(2, 0):soup('onion', 2, 0)",0.0,9.0,0,"(0, -1)",0.0,0.0,0.0,0.0,0.0,9.0,False,"(1, 1)",,"(2, 1)",onion,"(1, 0):dish;(2, 0):soup('onion', 2, 0)","(2, 0):soup('onion', 2, 0)"
15,2,"(1, 0)","(1, 1)","(0, -1)",,"(2, 1)","(0, -1)",onion,"(1, 0):dish;(2, 0):soup('onion', 2, 0)","(2, 0):soup('onion', 2, 0)",0.0,9.0,5,interact,3.0,0.0,3.0,0.0,0.0,12.0,False,"(1, 1)",,"(2, 1)",,"(1, 0):dish;(2, 0):soup('onion', 3, 1)","(2, 0):soup('onion', 3, 1)"
16,1,"(0, 1)","(1, 1)","(1, 0)",,"(2, 1)","(0, -1)",,"(1, 0):dish;(2, 0):soup('onion', 3, 1)","(2, 0):soup('onion', 3, 1)",0.0,12.0,2,"(1, 0)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(1, 2)",,"(3, 1)",,"(1, 0):dish;(2, 0):soup('onion', 3, 2)","(2, 0):soup('onion', 3, 2)"
17,5,interact,"(1, 2)","(0, 1)",,"(3, 1)","(1, 0)",,"(1, 0):dish;(2, 0):soup('onion', 3, 2)","(2, 0):soup('onion', 3, 2)",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(1, 2)",dish,"(3, 1)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 3)","(2, 0):soup('onion', 3, 3)"
18,1,"(0, 1)","(1, 2)","(0, 1)",dish,"(3, 1)","(1, 0)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 3)","(2, 0):soup('onion', 3, 3)",0.0,12.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(1, 2)",dish,"(2, 1)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 4)","(2, 0):soup('onion', 3, 4)"
19,1,"(0, 1)","(1, 2)","(0, 1)",dish,"(2, 1)","(-1, 0)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 4)","(2, 0):soup('onion', 3, 4)",0.0,12.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(1, 2)",dish,"(1, 1)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 5)","(2, 0):soup('onion', 3, 5)"
20,2,"(1, 0)","(1, 2)","(0, 1)",dish,"(1, 1)","(-1, 0)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 5)","(2, 0):soup('onion', 3, 5)",0.0,12.0,0,"(0, -1)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(2, 2)",dish,"(1, 1)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 6)","(2, 0):soup('onion', 3, 6)"
21,4,"(0, 0)","(2, 2)","(1, 0)",dish,"(1, 1)","(0, -1)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 6)","(2, 0):soup('onion', 3, 6)",0.0,12.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(2, 2)",dish,"(1, 1)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 7)","(2, 0):soup('onion', 3, 7)"
22,5,interact,"(2, 2)","(1, 0)",dish,"(1, 1)","(-1, 0)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 7)","(2, 0):soup('onion', 3, 7)",0.0,12.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(2, 2)",dish,"(1, 1)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 8)","(2, 0):soup('onion', 3, 8)"
23,5,interact,"(2, 2)","(1, 0)",dish,"(1, 1)","(-1, 0)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 8)","(2, 0):soup('onion', 3, 8)",0.0,12.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(2, 2)",dish,"(1, 1)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 9)","(2, 0):soup('onion', 3, 9)"
24,5,interact,"(2, 2)","(1, 0)",dish,"(1, 1)","(-1, 0)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 9)","(2, 0):soup('onion', 3, 9)",0.0,12.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(2, 2)",dish,"(1, 1)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 10)","(2, 0):soup('onion', 3, 10)"
25,5,interact,"(2, 2)","(1, 0)",dish,"(1, 1)","(-1, 0)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 10)","(2, 0):soup('onion', 3, 10)",0.0,12.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(2, 2)",dish,"(1, 1)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 11)","(2, 0):soup('onion', 3, 11)"
26,5,interact,"(2, 2)","(1, 0)",dish,"(1, 1)","(-1, 0)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 11)","(2, 0):soup('onion', 3, 11)",0.0,12.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(2, 2)",dish,"(1, 1)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 12)","(2, 0):soup('onion', 3, 12)"
27,5,interact,"(2, 2)","(1, 0)",dish,"(1, 1)","(-1, 0)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 12)","(2, 0):soup('onion', 3, 12)",0.0,12.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(2, 2)",dish,"(1, 1)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 13)","(2, 0):soup('onion', 3, 13)"
28,5,interact,"(2, 2)","(1, 0)",dish,"(1, 1)","(-1, 0)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 13)","(2, 0):soup('onion', 3, 13)",0.0,12.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(2, 2)",dish,"(1, 1)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 14)","(2, 0):soup('onion', 3, 14)"
29,5,interact,"(2, 2)","(1, 0)",dish,"(1, 1)","(-1, 0)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 14)","(2, 0):soup('onion', 3, 14)",0.0,12.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(2, 2)",dish,"(1, 1)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 15)","(2, 0):soup('onion', 3, 15)"
30,5,interact,"(2, 2)","(1, 0)",dish,"(1, 1)","(-1, 0)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 15)","(2, 0):soup('onion', 3, 15)",0.0,12.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(2, 2)",dish,"(1, 1)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 16)","(2, 0):soup('onion', 3, 16)"
31,5,interact,"(2, 2)","(1, 0)",dish,"(1, 1)","(-1, 0)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 16)","(2, 0):soup('onion', 3, 16)",0.0,12.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(2, 2)",dish,"(1, 1)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 17)","(2, 0):soup('onion', 3, 17)"
32,5,interact,"(2, 2)","(1, 0)",dish,"(1, 1)","(-1, 0)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 17)","(2, 0):soup('onion', 3, 17)",0.0,12.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(2, 2)",dish,"(1, 1)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 18)","(2, 0):soup('onion', 3, 18)"
33,5,interact,"(2, 2)","(1, 0)",dish,"(1, 1)","(-1, 0)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 18)","(2, 0):soup('onion', 3, 18)",0.0,12.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(2, 2)",dish,"(1, 1)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 19)","(2, 0):soup('onion', 3, 19)"
34,5,interact,"(2, 2)","(1, 0)",dish,"(1, 1)","(-1, 0)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 19)","(2, 0):soup('onion', 3, 19)",0.0,12.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(2, 2)",dish,"(1, 1)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 20)","(2, 0):soup('onion', 3, 20)"
35,0,"(0, -1)","(2, 2)","(1, 0)",dish,"(1, 1)","(-1, 0)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 20)","(2, 0):soup('onion', 3, 20)",0.0,12.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(2, 1)",dish,"(1, 1)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 20)","(2, 0):soup('onion', 3, 20)"
36,5,interact,"(2, 1)","(0, -1)",dish,"(1, 1)","(-1, 0)",onion,"(1, 0):dish;(2, 0):soup('onion', 3, 20)","(2, 0):soup('onion', 3, 20)",0.0,12.0,2,"(1, 0)",5.0,0.0,5.0,0.0,0.0,17.0,False,"(2, 1)","soup('onion', 3, 20)","(1, 1)",onion,"(1, 0):dish","(2, 0):empty"
37,2,"(1, 0)","(2, 1)","(0, -1)","soup('onion', 3, 20)","(1, 1)","(1, 0)",onion,"(1, 0):dish","(2, 0):empty",0.0,17.0,2,"(1, 0)",0.0,0.0,0.0,0.0,0.0,17.0,False,"(3, 1)","soup('onion', 3, 20)","(2, 1)",onion,"(1, 0):dish","(2, 0):empty"
38,1,"(0, 1)","(3, 1)","(1, 0)","soup('onion', 3, 20)","(2, 1)","(1, 0)",onion,"(1, 0):dish","(2, 0):empty",0.0,17.0,0,"(0, -1)",0.0,0.0,0.0,0.0,0.0,17.0,False,"(3, 2)","soup('onion', 3, 20)","(2, 1)",onion,"(1, 0):dish","(2, 0):empty"
39,5,interact,"(3, 2)","(0, 1)","soup('onion', 3, 20)","(2, 1)","(0, -1)",onion,"(1, 0):dish","(2, 0):empty",0.0,17.0,5,interact,23.0,20.0,3.0,0.0,20.0,20.0,True,"(3, 2)",,"(2, 1)",,"(1, 0):dish;(2, 0):soup('onion', 1, 0)","(2, 0):soup('onion', 1, 0)"
