episode,total_return,sparse_return,built_in_shaped_return,custom_shaped_return,shaped_return,deliveries
0,386.0,220.0,166.0,0.0,166.0,11.0
1,386.0,220.0,166.0,0.0,166.0,11.0
2,386.0,220.0,166.0,0.0,166.0,11.0
3,386.0,220.0,166.0,0.0,166.0,11.0
4,386.0,220.0,166.0,0.0,166.0,11.0
5,386.0,220.0,166.0,0.0,166.0,11.0
6,386.0,220.0,166.0,0.0,166.0,11.0
7,386.0,220.0,166.0,0.0,166.0,11.0
8,386.0,220.0,166.0,0.0,166.0,11.0
9,386.0,220.0,166.0,0.0,166.0,11.0
10,386.0,220.0,166.0,0.0,166.0,11.0
11,386.0,220.0,166.0,0.0,166.0,11.0
12,386.0,220.0,166.0,0.0,166.0,11.0
13,386.0,220.0,166.0,0.0,166.0,11.0
14,386.0,220.0,166.0,0.0,166.0,11.0
15,386.0,220.0,166.0,0.0,166.0,11.0
16,386.0,220.0,166.0,0.0,166.0,11.0
17,386.0,220.0,166.0,0.0,166.0,11.0
18,386.0,220.0,166.0,0.0,166.0,11.0
19,386.0,220.0,166.0,0.0,166.0,11.0
