step,ego_action_idx,ego_action,p0_pos,p0_orient,p0_held,p1_pos,p1_orient,p1_held,objects_before,pots_before,cum_sparse_before,cum_shaped_before,partner_action_idx,partner_action,reward,sparse_reward,built_in_shaped_reward,custom_shaped_reward,cum_sparse_after,cum_shaped_after,delivery_event,p0_pos_after,p0_held_after,p1_pos_after,p1_held_after,objects_after,pots_after
0,3,"(-1, 0)","(6, 2)","(0, -1)",,"(1, 3)","(0, -1)",,,"(4, 2):empty;(4, 3):empty",0.0,0.0,2,"(1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,False,"(5, 2)",,"(2, 3)",,,"(4, 2):empty;(4, 3):empty"
1,0,"(0, -1)","(5, 2)","(-1, 0)",,"(2, 3)","(1, 0)",,,"(4, 2):empty;(4, 3):empty",0.0,0.0,1,"(0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,False,"(5, 2)",,"(2, 3)",,,"(4, 2):empty;(4, 3):empty"
2,5,interact,"(5, 2)","(0, -1)",,"(2, 3)","(0, 1)",,,"(4, 2):empty;(4, 3):empty",0.0,0.0,2,"(1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,False,"(5, 2)",onion,"(3, 3)",,,"(4, 2):empty;(4, 3):empty"
3,3,"(-1, 0)","(5, 2)","(0, -1)",onion,"(3, 3)","(1, 0)",,,"(4, 2):empty;(4, 3):empty",0.0,0.0,1,"(0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,False,"(5, 2)",onion,"(3, 3)",,,"(4, 2):empty;(4, 3):empty"
4,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 3)","(0, 1)",,,"(4, 2):empty;(4, 3):empty",0.0,0.0,5,interact,3.0594,0.0,3.0,0.0594,0.0,3.0,False,"(5, 2)",,"(3, 3)",dish,"(4, 2):soup('onion', 1, 0)","(4, 2):soup('onion', 1, 0);(4, 3):empty"
5,0,"(0, -1)","(5, 2)","(-1, 0)",,"(3, 3)","(0, 1)",dish,"(4, 2):soup('onion', 1, 0)","(4, 2):soup('onion', 1, 0);(4, 3):empty",0.0,3.0,2,"(1, 0)",-0.0006000000000000006,0.0,0.0,-0.0006000000000000006,0.0,3.0,False,"(5, 2)",,"(3, 3)",dish,"(4, 2):soup('onion', 1, 0)","(4, 2):soup('onion', 1, 0);(4, 3):empty"
6,5,interact,"(5, 2)","(0, -1)",,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 1, 0)","(4, 2):soup('onion', 1, 0);(4, 3):empty",0.0,3.0,0,"(0, -1)",-0.0006000000000000006,0.0,0.0,-0.0006000000000000006,0.0,3.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 1, 0)","(4, 2):soup('onion', 1, 0);(4, 3):empty"
7,3,"(-1, 0)","(5, 2)","(0, -1)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 1, 0)","(4, 2):soup('onion', 1, 0);(4, 3):empty",0.0,3.0,2,"(1, 0)",-0.0006000000000000006,0.0,0.0,-0.0006000000000000006,0.0,3.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 1, 0)","(4, 2):soup('onion', 1, 0);(4, 3):empty"
8,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 1, 0)","(4, 2):soup('onion', 1, 0);(4, 3):empty",0.0,3.0,2,"(1, 0)",3.0588,0.0,3.0,0.0588,0.0,6.0,False,"(5, 2)",,"(3, 2)",dish,"(4, 2):soup('onion', 2, 0)","(4, 2):soup('onion', 2, 0);(4, 3):empty"
9,0,"(0, -1)","(5, 2)","(-1, 0)",,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 2, 0)","(4, 2):soup('onion', 2, 0);(4, 3):empty",0.0,6.0,4,"(0, 0)",-0.0012000000000000012,0.0,0.0,-0.0012000000000000012,0.0,6.0,False,"(5, 2)",,"(3, 2)",dish,"(4, 2):soup('onion', 2, 0)","(4, 2):soup('onion', 2, 0);(4, 3):empty"
10,5,interact,"(5, 2)","(0, -1)",,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 2, 0)","(4, 2):soup('onion', 2, 0);(4, 3):empty",0.0,6.0,4,"(0, 0)",-0.0012000000000000012,0.0,0.0,-0.0012000000000000012,0.0,6.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 2, 0)","(4, 2):soup('onion', 2, 0);(4, 3):empty"
11,3,"(-1, 0)","(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 2, 0)","(4, 2):soup('onion', 2, 0);(4, 3):empty",0.0,6.0,4,"(0, 0)",-0.0012000000000000012,0.0,0.0,-0.0012000000000000012,0.0,6.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 2, 0)","(4, 2):soup('onion', 2, 0);(4, 3):empty"
12,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 2, 0)","(4, 2):soup('onion', 2, 0);(4, 3):empty",0.0,6.0,2,"(1, 0)",3.078,0.0,3.0,0.07800000000000001,0.0,9.0,False,"(5, 2)",,"(3, 2)",dish,"(4, 2):soup('onion', 3, 1)","(4, 2):soup('onion', 3, 1);(4, 3):empty"
