step,ego_action_idx,ego_action,p0_pos,p0_orient,p0_held,p1_pos,p1_orient,p1_held,objects_before,pots_before,cum_sparse_before,cum_shaped_before,partner_action_idx,partner_action,reward,sparse_reward,built_in_shaped_reward,custom_shaped_reward,cum_sparse_after,cum_shaped_after,delivery_event,p0_pos_after,p0_held_after,p1_pos_after,p1_held_after,objects_after,pots_after
0,3,"(-1, 0)","(6, 2)","(0, -1)",,"(1, 3)","(0, -1)",,,"(4, 2):empty;(4, 3):empty",0.0,0.0,2,"(1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,False,"(5, 2)",,"(2, 3)",,,"(4, 2):empty;(4, 3):empty"
1,0,"(0, -1)","(5, 2)","(-1, 0)",,"(2, 3)","(1, 0)",,,"(4, 2):empty;(4, 3):empty",0.0,0.0,5,interact,0.0,0.0,0.0,0.0,0.0,0.0,False,"(5, 2)",,"(2, 3)",,,"(4, 2):empty;(4, 3):empty"
2,5,interact,"(5, 2)","(0, -1)",,"(2, 3)","(1, 0)",,,"(4, 2):empty;(4, 3):empty",0.0,0.0,5,interact,0.0,0.0,0.0,0.0,0.0,0.0,False,"(5, 2)",onion,"(2, 3)",,,"(4, 2):empty;(4, 3):empty"
3,3,"(-1, 0)","(5, 2)","(0, -1)",onion,"(2, 3)","(1, 0)",,,"(4, 2):empty;(4, 3):empty",0.0,0.0,5,interact,0.0,0.0,0.0,0.0,0.0,0.0,False,"(5, 2)",onion,"(2, 3)",,,"(4, 2):empty;(4, 3):empty"
4,5,interact,"(5, 2)","(-1, 0)",onion,"(2, 3)","(1, 0)",,,"(4, 2):empty;(4, 3):empty",0.0,0.0,5,interact,3.3564,0.0,3.0,0.3564,0.0,3.0,False,"(5, 2)",,"(2, 3)",,"(4, 2):soup('onion', 1, 0)","(4, 2):soup('onion', 1, 0);(4, 3):empty"
5,0,"(0, -1)","(5, 2)","(-1, 0)",,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 1, 0)","(4, 2):soup('onion', 1, 0);(4, 3):empty",0.0,3.0,5,interact,-0.003600000000000003,0.0,0.0,-0.003600000000000003,0.0,3.0,False,"(5, 2)",,"(2, 3)",,"(4, 2):soup('onion', 1, 0)","(4, 2):soup('onion', 1, 0);(4, 3):empty"
6,5,interact,"(5, 2)","(0, -1)",,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 1, 0)","(4, 2):soup('onion', 1, 0);(4, 3):empty",0.0,3.0,5,interact,-0.003600000000000003,0.0,0.0,-0.003600000000000003,0.0,3.0,False,"(5, 2)",onion,"(2, 3)",,"(4, 2):soup('onion', 1, 0)","(4, 2):soup('onion', 1, 0);(4, 3):empty"
7,3,"(-1, 0)","(5, 2)","(0, -1)",onion,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 1, 0)","(4, 2):soup('onion', 1, 0);(4, 3):empty",0.0,3.0,5,interact,-0.003600000000000003,0.0,0.0,-0.003600000000000003,0.0,3.0,False,"(5, 2)",onion,"(2, 3)",,"(4, 2):soup('onion', 1, 0)","(4, 2):soup('onion', 1, 0);(4, 3):empty"
8,5,interact,"(5, 2)","(-1, 0)",onion,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 1, 0)","(4, 2):soup('onion', 1, 0);(4, 3):empty",0.0,3.0,5,interact,3.3528,0.0,3.0,0.35279999999999995,0.0,6.0,False,"(5, 2)",,"(2, 3)",,"(4, 2):soup('onion', 2, 0)","(4, 2):soup('onion', 2, 0);(4, 3):empty"
9,0,"(0, -1)","(5, 2)","(-1, 0)",,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 2, 0)","(4, 2):soup('onion', 2, 0);(4, 3):empty",0.0,6.0,5,interact,-0.007200000000000006,0.0,0.0,-0.007200000000000006,0.0,6.0,False,"(5, 2)",,"(2, 3)",,"(4, 2):soup('onion', 2, 0)","(4, 2):soup('onion', 2, 0);(4, 3):empty"
10,5,interact,"(5, 2)","(0, -1)",,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 2, 0)","(4, 2):soup('onion', 2, 0);(4, 3):empty",0.0,6.0,5,interact,-0.007200000000000006,0.0,0.0,-0.007200000000000006,0.0,6.0,False,"(5, 2)",onion,"(2, 3)",,"(4, 2):soup('onion', 2, 0)","(4, 2):soup('onion', 2, 0);(4, 3):empty"
11,3,"(-1, 0)","(5, 2)","(0, -1)",onion,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 2, 0)","(4, 2):soup('onion', 2, 0);(4, 3):empty",0.0,6.0,5,interact,-0.007200000000000006,0.0,0.0,-0.007200000000000006,0.0,6.0,False,"(5, 2)",onion,"(2, 3)",,"(4, 2):soup('onion', 2, 0)","(4, 2):soup('onion', 2, 0);(4, 3):empty"
12,5,interact,"(5, 2)","(-1, 0)",onion,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 2, 0)","(4, 2):soup('onion', 2, 0);(4, 3):empty",0.0,6.0,5,interact,3.468,0.0,3.0,0.46799999999999997,0.0,9.0,False,"(5, 2)",,"(2, 3)",,"(4, 2):soup('onion', 3, 1)","(4, 2):soup('onion', 3, 1);(4, 3):empty"
13,5,interact,"(5, 2)","(-1, 0)",,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 3, 1)","(4, 2):soup('onion', 3, 1);(4, 3):empty",0.0,9.0,5,interact,-0.01200000000000001,0.0,0.0,-0.01200000000000001,0.0,9.0,False,"(5, 2)",,"(2, 3)",,"(4, 2):soup('onion', 3, 2)","(4, 2):soup('onion', 3, 2);(4, 3):empty"
14,5,interact,"(5, 2)","(-1, 0)",,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 3, 2)","(4, 2):soup('onion', 3, 2);(4, 3):empty",0.0,9.0,5,interact,-0.01200000000000001,0.0,0.0,-0.01200000000000001,0.0,9.0,False,"(5, 2)",,"(2, 3)",,"(4, 2):soup('onion', 3, 3)","(4, 2):soup('onion', 3, 3);(4, 3):empty"
15,5,interact,"(5, 2)","(-1, 0)",,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 3, 3)","(4, 2):soup('onion', 3, 3);(4, 3):empty",0.0,9.0,5,interact,-0.01200000000000001,0.0,0.0,-0.01200000000000001,0.0,9.0,False,"(5, 2)",,"(2, 3)",,"(4, 2):soup('onion', 3, 4)","(4, 2):soup('onion', 3, 4);(4, 3):empty"
16,5,interact,"(5, 2)","(-1, 0)",,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 3, 4)","(4, 2):soup('onion', 3, 4);(4, 3):empty",0.0,9.0,5,interact,-0.01200000000000001,0.0,0.0,-0.01200000000000001,0.0,9.0,False,"(5, 2)",,"(2, 3)",,"(4, 2):soup('onion', 3, 5)","(4, 2):soup('onion', 3, 5);(4, 3):empty"
17,5,interact,"(5, 2)","(-1, 0)",,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 3, 5)","(4, 2):soup('onion', 3, 5);(4, 3):empty",0.0,9.0,5,interact,-0.01200000000000001,0.0,0.0,-0.01200000000000001,0.0,9.0,False,"(5, 2)",,"(2, 3)",,"(4, 2):soup('onion', 3, 6)","(4, 2):soup('onion', 3, 6);(4, 3):empty"
18,5,interact,"(5, 2)","(-1, 0)",,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 3, 6)","(4, 2):soup('onion', 3, 6);(4, 3):empty",0.0,9.0,5,interact,-0.01200000000000001,0.0,0.0,-0.01200000000000001,0.0,9.0,False,"(5, 2)",,"(2, 3)",,"(4, 2):soup('onion', 3, 7)","(4, 2):soup('onion', 3, 7);(4, 3):empty"
19,5,interact,"(5, 2)","(-1, 0)",,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 3, 7)","(4, 2):soup('onion', 3, 7);(4, 3):empty",0.0,9.0,5,interact,-0.01200000000000001,0.0,0.0,-0.01200000000000001,0.0,9.0,False,"(5, 2)",,"(2, 3)",,"(4, 2):soup('onion', 3, 8)","(4, 2):soup('onion', 3, 8);(4, 3):empty"
20,5,interact,"(5, 2)","(-1, 0)",,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 3, 8)","(4, 2):soup('onion', 3, 8);(4, 3):empty",0.0,9.0,5,interact,-0.01200000000000001,0.0,0.0,-0.01200000000000001,0.0,9.0,False,"(5, 2)",,"(2, 3)",,"(4, 2):soup('onion', 3, 9)","(4, 2):soup('onion', 3, 9);(4, 3):empty"
21,5,interact,"(5, 2)","(-1, 0)",,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 3, 9)","(4, 2):soup('onion', 3, 9);(4, 3):empty",0.0,9.0,5,interact,-0.01200000000000001,0.0,0.0,-0.01200000000000001,0.0,9.0,False,"(5, 2)",,"(2, 3)",,"(4, 2):soup('onion', 3, 10)","(4, 2):soup('onion', 3, 10);(4, 3):empty"
22,5,interact,"(5, 2)","(-1, 0)",,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 3, 10)","(4, 2):soup('onion', 3, 10);(4, 3):empty",0.0,9.0,5,interact,-0.01200000000000001,0.0,0.0,-0.01200000000000001,0.0,9.0,False,"(5, 2)",,"(2, 3)",,"(4, 2):soup('onion', 3, 11)","(4, 2):soup('onion', 3, 11);(4, 3):empty"
23,5,interact,"(5, 2)","(-1, 0)",,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 3, 11)","(4, 2):soup('onion', 3, 11);(4, 3):empty",0.0,9.0,5,interact,-0.01200000000000001,0.0,0.0,-0.01200000000000001,0.0,9.0,False,"(5, 2)",,"(2, 3)",,"(4, 2):soup('onion', 3, 12)","(4, 2):soup('onion', 3, 12);(4, 3):empty"
24,5,interact,"(5, 2)","(-1, 0)",,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 3, 12)","(4, 2):soup('onion', 3, 12);(4, 3):empty",0.0,9.0,5,interact,-0.01200000000000001,0.0,0.0,-0.01200000000000001,0.0,9.0,False,"(5, 2)",,"(2, 3)",,"(4, 2):soup('onion', 3, 13)","(4, 2):soup('onion', 3, 13);(4, 3):empty"
25,5,interact,"(5, 2)","(-1, 0)",,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 3, 13)","(4, 2):soup('onion', 3, 13);(4, 3):empty",0.0,9.0,5,interact,-0.01200000000000001,0.0,0.0,-0.01200000000000001,0.0,9.0,False,"(5, 2)",,"(2, 3)",,"(4, 2):soup('onion', 3, 14)","(4, 2):soup('onion', 3, 14);(4, 3):empty"
26,5,interact,"(5, 2)","(-1, 0)",,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 3, 14)","(4, 2):soup('onion', 3, 14);(4, 3):empty",0.0,9.0,5,interact,-0.01200000000000001,0.0,0.0,-0.01200000000000001,0.0,9.0,False,"(5, 2)",,"(2, 3)",,"(4, 2):soup('onion', 3, 15)","(4, 2):soup('onion', 3, 15);(4, 3):empty"
27,5,interact,"(5, 2)","(-1, 0)",,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 3, 15)","(4, 2):soup('onion', 3, 15);(4, 3):empty",0.0,9.0,5,interact,-0.01200000000000001,0.0,0.0,-0.01200000000000001,0.0,9.0,False,"(5, 2)",,"(2, 3)",,"(4, 2):soup('onion', 3, 16)","(4, 2):soup('onion', 3, 16);(4, 3):empty"
28,5,interact,"(5, 2)","(-1, 0)",,"(2, 3)","(1, 0)",,"(4, 2):soup('onion', 3, 16)","(4, 2):soup('onion', 3, 16);(4, 3):empty",0.0,9.0,5,interact,-0.01200000000000001,0.0,0.0,-0.01200000000000001,0.0,9.0,False,"(5, 2)",,"(2, 3)",,"(4, 2):soup('onion', 3, 17)","(4, 2):soup('onion', 3, 17);(4, 3):empty"
