step,ego_action,partner_action,reward,total_return,sparse_return,deliveries,p0_pos,p0_orient,p0_held,p1_pos,p1_orient,p1_held,pots,objects
1,"(-1, 0)","(1, 0)",0.0,0.0,0.0,0.0,"(5, 2)","(-1, 0)",,"(2, 3)","(1, 0)",,"(4, 2):empty;(4, 3):empty",
2,"(0, -1)","(0, -1)",0.0,0.0,0.0,0.0,"(5, 2)","(0, -1)",,"(2, 2)","(0, -1)",,"(4, 2):empty;(4, 3):empty",
3,interact,"(0, 0)",0.0,0.0,0.0,0.0,"(5, 2)","(0, -1)",onion,"(2, 2)","(0, -1)",,"(4, 2):empty;(4, 3):empty",
4,"(-1, 0)","(1, 0)",0.0,0.0,0.0,0.0,"(5, 2)","(-1, 0)",onion,"(3, 2)","(1, 0)",,"(4, 2):empty;(4, 3):empty",
5,interact,"(0, -1)",3.0,3.0,0.0,0.0,"(5, 2)","(-1, 0)",,"(3, 2)","(0, -1)",,"(4, 2):soup('onion', 1, 0);(4, 3):empty","(4, 2):soup('onion', 1, 0)"
6,"(0, -1)","(0, 1)",0.0,3.0,0.0,0.0,"(5, 2)","(0, -1)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):empty","(4, 2):soup('onion', 1, 0)"
7,interact,"(0, 1)",0.0,3.0,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):empty","(4, 2):soup('onion', 1, 0)"
8,"(-1, 0)",interact,3.0,6.0,0.0,0.0,"(5, 2)","(-1, 0)",onion,"(3, 3)","(0, 1)",dish,"(4, 2):soup('onion', 1, 0);(4, 3):empty","(4, 2):soup('onion', 1, 0)"
9,interact,"(0, -1)",3.0,9.0,0.0,0.0,"(5, 2)","(-1, 0)",,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 2, 0);(4, 3):empty","(4, 2):soup('onion', 2, 0)"
10,"(0, -1)","(1, 0)",0.0,9.0,0.0,0.0,"(5, 2)","(0, -1)",,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 2, 0);(4, 3):empty","(4, 2):soup('onion', 2, 0)"
11,interact,"(0, -1)",0.0,9.0,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 2, 0);(4, 3):empty","(4, 2):soup('onion', 2, 0)"
12,"(-1, 0)","(1, 0)",0.0,9.0,0.0,0.0,"(5, 2)","(-1, 0)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 2, 0);(4, 3):empty","(4, 2):soup('onion', 2, 0)"
13,interact,interact,3.0,12.0,0.0,0.0,"(5, 2)","(-1, 0)",,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 1);(4, 3):empty","(4, 2):soup('onion', 3, 1)"
