step,ego_action,partner_action,reward,total_return,sparse_return,deliveries,p0_pos,p0_orient,p0_held,p1_pos,p1_orient,p1_held,pots,objects
1,"(-1, 0)","(1, 0)",0.0,0.0,0.0,0.0,"(5, 2)","(-1, 0)",,"(2, 3)","(1, 0)",,"(4, 2):empty;(4, 3):empty",
2,"(0, -1)","(0, 1)",0.0,0.0,0.0,0.0,"(5, 2)","(0, -1)",,"(2, 3)","(0, 1)",,"(4, 2):empty;(4, 3):empty",
3,interact,"(1, 0)",0.0,0.0,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(1, 0)",,"(4, 2):empty;(4, 3):empty",
4,"(-1, 0)","(0, 1)",0.0,0.0,0.0,0.0,"(5, 2)","(-1, 0)",onion,"(3, 3)","(0, 1)",,"(4, 2):empty;(4, 3):empty",
5,interact,"(0, 1)",3.3564,3.3564,0.0,0.0,"(5, 2)","(-1, 0)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):empty","(4, 2):soup('onion', 1, 0)"
6,"(0, -1)",interact,2.9964,6.3528,0.0,0.0,"(5, 2)","(0, -1)",,"(3, 3)","(0, 1)",dish,"(4, 2):soup('onion', 1, 0);(4, 3):empty","(4, 2):soup('onion', 1, 0)"
7,interact,"(0, 0)",-0.003600000000000003,6.349200000000001,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(0, 1)",dish,"(4, 2):soup('onion', 1, 0);(4, 3):empty","(4, 2):soup('onion', 1, 0)"
8,"(-1, 0)","(1, 0)",-0.003600000000000003,6.345600000000001,0.0,0.0,"(5, 2)","(-1, 0)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 1, 0);(4, 3):empty","(4, 2):soup('onion', 1, 0)"
9,interact,interact,3.3528,9.698400000000001,0.0,0.0,"(5, 2)","(-1, 0)",,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 2, 0);(4, 3):empty","(4, 2):soup('onion', 2, 0)"
10,"(0, -1)","(0, 0)",-0.007200000000000006,9.691200000000002,0.0,0.0,"(5, 2)","(0, -1)",,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 2, 0);(4, 3):empty","(4, 2):soup('onion', 2, 0)"
11,interact,"(0, 0)",-0.007200000000000006,9.684000000000003,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 2, 0);(4, 3):empty","(4, 2):soup('onion', 2, 0)"
12,"(-1, 0)","(0, 0)",-0.007200000000000006,9.676800000000004,0.0,0.0,"(5, 2)","(-1, 0)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 2, 0);(4, 3):empty","(4, 2):soup('onion', 2, 0)"
13,interact,interact,3.468,13.144800000000004,0.0,0.0,"(5, 2)","(-1, 0)",,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 1);(4, 3):empty","(4, 2):soup('onion', 3, 1)"
14,"(0, -1)","(0, 0)",-0.01200000000000001,13.132800000000003,0.0,0.0,"(5, 2)","(0, -1)",,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 2);(4, 3):empty","(4, 2):soup('onion', 3, 2)"
15,interact,"(0, 0)",-0.01200000000000001,13.120800000000003,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 3);(4, 3):empty","(4, 2):soup('onion', 3, 3)"
16,"(0, 1)","(0, 0)",-0.01200000000000001,13.108800000000002,0.0,0.0,"(5, 3)","(0, 1)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 4);(4, 3):empty","(4, 2):soup('onion', 3, 4)"
17,"(-1, 0)",interact,-0.01200000000000001,13.096800000000002,0.0,0.0,"(5, 3)","(-1, 0)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 5);(4, 3):empty","(4, 2):soup('onion', 3, 5)"
18,interact,interact,3.3444,16.441200000000002,0.0,0.0,"(5, 3)","(-1, 0)",,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 6);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 6);(4, 3):soup('onion', 1, 0)"
19,"(0, -1)","(0, -1)",-0.015600000000000147,16.425600000000003,0.0,0.0,"(5, 2)","(0, -1)",,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 7);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 7);(4, 3):soup('onion', 1, 0)"
20,interact,"(-1, 0)",-0.015600000000000147,16.410000000000004,0.0,0.0,"(5, 2)","(0, -1)",onion,"(2, 2)","(-1, 0)",dish,"(4, 2):soup('onion', 3, 8);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 8);(4, 3):soup('onion', 1, 0)"
21,"(0, 1)","(1, 0)",-0.015600000000000147,16.394400000000005,0.0,0.0,"(5, 3)","(0, 1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 9);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 9);(4, 3):soup('onion', 1, 0)"
22,"(-1, 0)",interact,-0.015600000000000147,16.378800000000005,0.0,0.0,"(5, 3)","(-1, 0)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 10);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 10);(4, 3):soup('onion', 1, 0)"
23,interact,interact,3.3408,19.719600000000007,0.0,0.0,"(5, 3)","(-1, 0)",,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 11);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 11);(4, 3):soup('onion', 2, 0)"
24,"(0, -1)","(0, -1)",-0.019200000000000016,19.700400000000005,0.0,0.0,"(5, 2)","(0, -1)",,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 12);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 12);(4, 3):soup('onion', 2, 0)"
25,interact,"(-1, 0)",-0.019200000000000016,19.681200000000004,0.0,0.0,"(5, 2)","(0, -1)",onion,"(2, 2)","(-1, 0)",dish,"(4, 2):soup('onion', 3, 13);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 13);(4, 3):soup('onion', 2, 0)"
26,"(0, 1)","(1, 0)",-0.019200000000000016,19.662000000000003,0.0,0.0,"(5, 3)","(0, 1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 14);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 14);(4, 3):soup('onion', 2, 0)"
27,"(-1, 0)",interact,-0.019200000000000016,19.6428,0.0,0.0,"(5, 3)","(-1, 0)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 15);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 15);(4, 3):soup('onion', 2, 0)"
28,interact,interact,3.456,23.0988,0.0,0.0,"(5, 3)","(-1, 0)",,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 16);(4, 3):soup('onion', 3, 1)","(4, 2):soup('onion', 3, 16);(4, 3):soup('onion', 3, 1)"
29,"(0, -1)","(0, -1)",-0.02400000000000002,23.0748,0.0,0.0,"(5, 2)","(0, -1)",,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 17);(4, 3):soup('onion', 3, 2)","(4, 2):soup('onion', 3, 17);(4, 3):soup('onion', 3, 2)"
30,interact,"(-1, 0)",-0.02400000000000002,23.0508,0.0,0.0,"(5, 2)","(0, -1)",onion,"(2, 2)","(-1, 0)",dish,"(4, 2):soup('onion', 3, 18);(4, 3):soup('onion', 3, 3)","(4, 2):soup('onion', 3, 18);(4, 3):soup('onion', 3, 3)"
31,"(0, 1)","(1, 0)",-0.02400000000000002,23.026799999999998,0.0,0.0,"(5, 3)","(0, 1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 19);(4, 3):soup('onion', 3, 4)","(4, 2):soup('onion', 3, 19);(4, 3):soup('onion', 3, 4)"
32,"(-1, 0)",interact,0.5700000000000001,23.596799999999998,0.0,0.0,"(5, 3)","(-1, 0)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 20);(4, 3):soup('onion', 3, 5)","(4, 2):soup('onion', 3, 20);(4, 3):soup('onion', 3, 5)"
33,"(0, 0)",interact,5.5046,29.101399999999998,0.0,0.0,"(5, 3)","(-1, 0)",onion,"(3, 2)","(1, 0)","soup('onion', 3, 20)","(4, 2):empty;(4, 3):soup('onion', 3, 6)","(4, 3):soup('onion', 3, 6)"
34,"(0, -1)","(0, -1)",-0.0354000000000001,29.066,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(0, -1)","soup('onion', 3, 20)","(4, 2):empty;(4, 3):soup('onion', 3, 7)","(4, 3):soup('onion', 3, 7)"
35,"(-1, 0)","(0, -1)",-0.0354000000000001,29.0306,0.0,0.0,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)","soup('onion', 3, 20)","(4, 2):empty;(4, 3):soup('onion', 3, 8)","(4, 3):soup('onion', 3, 8)"
36,interact,interact,21.0044,50.035,20.0,1.0,"(5, 2)","(-1, 0)",,"(3, 2)","(0, -1)",,"(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 9)","(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 9)"
37,"(0, -1)","(0, 1)",-0.015600000000000147,50.0194,20.0,1.0,"(5, 2)","(0, -1)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 10)","(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 10)"
38,interact,"(0, 0)",-0.015600000000000147,50.0038,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 11)","(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 11)"
39,"(-1, 0)","(0, 1)",-0.015600000000000147,49.9882,20.0,1.0,"(5, 2)","(-1, 0)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 12)","(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 12)"
40,interact,"(0, 1)",3.3408,53.329,20.0,1.0,"(5, 2)","(-1, 0)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 13)","(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 13)"
