episode,total_return,sparse_return,built_in_shaped_return,custom_shaped_return,shaped_return,deliveries
0,490.0,260.0,230.0,0.0,230.0,13.0
1,490.0,260.0,230.0,0.0,230.0,13.0
2,490.0,260.0,230.0,0.0,230.0,13.0
3,490.0,260.0,230.0,0.0,230.0,13.0
4,490.0,260.0,230.0,0.0,230.0,13.0
5,490.0,260.0,230.0,0.0,230.0,13.0
6,490.0,260.0,230.0,0.0,230.0,13.0
7,490.0,260.0,230.0,0.0,230.0,13.0
8,490.0,260.0,230.0,0.0,230.0,13.0
9,490.0,260.0,230.0,0.0,230.0,13.0
10,490.0,260.0,230.0,0.0,230.0,13.0
11,490.0,260.0,230.0,0.0,230.0,13.0
12,490.0,260.0,230.0,0.0,230.0,13.0
13,490.0,260.0,230.0,0.0,230.0,13.0
14,490.0,260.0,230.0,0.0,230.0,13.0
15,490.0,260.0,230.0,0.0,230.0,13.0
16,490.0,260.0,230.0,0.0,230.0,13.0
17,490.0,260.0,230.0,0.0,230.0,13.0
18,490.0,260.0,230.0,0.0,230.0,13.0
19,490.0,260.0,230.0,0.0,230.0,13.0
20,490.0,260.0,230.0,0.0,230.0,13.0
21,490.0,260.0,230.0,0.0,230.0,13.0
22,490.0,260.0,230.0,0.0,230.0,13.0
23,490.0,260.0,230.0,0.0,230.0,13.0
24,490.0,260.0,230.0,0.0,230.0,13.0
25,490.0,260.0,230.0,0.0,230.0,13.0
26,490.0,260.0,230.0,0.0,230.0,13.0
27,490.0,260.0,230.0,0.0,230.0,13.0
28,490.0,260.0,230.0,0.0,230.0,13.0
29,490.0,260.0,230.0,0.0,230.0,13.0
30,490.0,260.0,230.0,0.0,230.0,13.0
31,490.0,260.0,230.0,0.0,230.0,13.0
32,490.0,260.0,230.0,0.0,230.0,13.0
33,490.0,260.0,230.0,0.0,230.0,13.0
34,490.0,260.0,230.0,0.0,230.0,13.0
35,490.0,260.0,230.0,0.0,230.0,13.0
36,490.0,260.0,230.0,0.0,230.0,13.0
37,490.0,260.0,230.0,0.0,230.0,13.0
38,490.0,260.0,230.0,0.0,230.0,13.0
39,490.0,260.0,230.0,0.0,230.0,13.0
40,490.0,260.0,230.0,0.0,230.0,13.0
41,490.0,260.0,230.0,0.0,230.0,13.0
42,490.0,260.0,230.0,0.0,230.0,13.0
43,490.0,260.0,230.0,0.0,230.0,13.0
44,490.0,260.0,230.0,0.0,230.0,13.0
45,490.0,260.0,230.0,0.0,230.0,13.0
46,490.0,260.0,230.0,0.0,230.0,13.0
47,490.0,260.0,230.0,0.0,230.0,13.0
48,490.0,260.0,230.0,0.0,230.0,13.0
49,490.0,260.0,230.0,0.0,230.0,13.0
50,490.0,260.0,230.0,0.0,230.0,13.0
51,490.0,260.0,230.0,0.0,230.0,13.0
52,490.0,260.0,230.0,0.0,230.0,13.0
53,490.0,260.0,230.0,0.0,230.0,13.0
54,490.0,260.0,230.0,0.0,230.0,13.0
55,490.0,260.0,230.0,0.0,230.0,13.0
56,490.0,260.0,230.0,0.0,230.0,13.0
57,490.0,260.0,230.0,0.0,230.0,13.0
58,490.0,260.0,230.0,0.0,230.0,13.0
59,490.0,260.0,230.0,0.0,230.0,13.0
60,490.0,260.0,230.0,0.0,230.0,13.0
61,490.0,260.0,230.0,0.0,230.0,13.0
62,490.0,260.0,230.0,0.0,230.0,13.0
63,490.0,260.0,230.0,0.0,230.0,13.0
64,490.0,260.0,230.0,0.0,230.0,13.0
65,490.0,260.0,230.0,0.0,230.0,13.0
66,490.0,260.0,230.0,0.0,230.0,13.0
67,490.0,260.0,230.0,0.0,230.0,13.0
68,490.0,260.0,230.0,0.0,230.0,13.0
69,490.0,260.0,230.0,0.0,230.0,13.0
70,490.0,260.0,230.0,0.0,230.0,13.0
71,490.0,260.0,230.0,0.0,230.0,13.0
72,490.0,260.0,230.0,0.0,230.0,13.0
73,490.0,260.0,230.0,0.0,230.0,13.0
74,490.0,260.0,230.0,0.0,230.0,13.0
75,490.0,260.0,230.0,0.0,230.0,13.0
76,490.0,260.0,230.0,0.0,230.0,13.0
77,490.0,260.0,230.0,0.0,230.0,13.0
78,490.0,260.0,230.0,0.0,230.0,13.0
79,490.0,260.0,230.0,0.0,230.0,13.0
80,490.0,260.0,230.0,0.0,230.0,13.0
81,490.0,260.0,230.0,0.0,230.0,13.0
82,490.0,260.0,230.0,0.0,230.0,13.0
83,490.0,260.0,230.0,0.0,230.0,13.0
84,490.0,260.0,230.0,0.0,230.0,13.0
85,490.0,260.0,230.0,0.0,230.0,13.0
86,490.0,260.0,230.0,0.0,230.0,13.0
87,490.0,260.0,230.0,0.0,230.0,13.0
88,490.0,260.0,230.0,0.0,230.0,13.0
89,490.0,260.0,230.0,0.0,230.0,13.0
90,490.0,260.0,230.0,0.0,230.0,13.0
91,490.0,260.0,230.0,0.0,230.0,13.0
92,490.0,260.0,230.0,0.0,230.0,13.0
93,490.0,260.0,230.0,0.0,230.0,13.0
94,490.0,260.0,230.0,0.0,230.0,13.0
95,490.0,260.0,230.0,0.0,230.0,13.0
96,490.0,260.0,230.0,0.0,230.0,13.0
97,490.0,260.0,230.0,0.0,230.0,13.0
98,490.0,260.0,230.0,0.0,230.0,13.0
99,490.0,260.0,230.0,0.0,230.0,13.0
