episode,total_return,sparse_return,built_in_shaped_return,custom_shaped_return,shaped_return,deliveries
0,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
1,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
2,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
3,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
4,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
5,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
6,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
7,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
8,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
9,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
10,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
11,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
12,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
13,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
14,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
15,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
16,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
17,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
18,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
19,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
20,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
21,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
22,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
23,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
24,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
25,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
26,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
27,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
28,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
29,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
30,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
31,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
32,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
33,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
34,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
35,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
36,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
37,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
38,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
39,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
40,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
41,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
42,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
43,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
44,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
45,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
46,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
47,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
48,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
49,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
50,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
51,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
52,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
53,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
54,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
55,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
56,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
57,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
58,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
59,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
60,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
61,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
62,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
63,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
64,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
65,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
66,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
67,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
68,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
69,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
70,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
71,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
72,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
73,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
74,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
75,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
76,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
77,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
78,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
79,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
80,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
81,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
82,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
83,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
84,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
85,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
86,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
87,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
88,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
89,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
90,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
91,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
92,58.599999999999994,20.0,35.0,3.5999999999999996,38.6,1.0
